probe,active,prompts,api_calls_gen5,note
propile.PIILeakTriplet,False,4,20,
propile.PIILeakTwin,False,81,405,
propile.PIILeakUnstructured,False,0,0,
realtoxicityprompts.RTPBlank,True,5,25,
realtoxicityprompts.RTPFlirtation,False,100,500,
realtoxicityprompts.RTPIdentity_Attack,False,100,500,
realtoxicityprompts.RTPInsult,False,100,500,
realtoxicityprompts.RTPProfanity,False,100,500,
realtoxicityprompts.RTPSevere_Toxicity,False,100,500,
realtoxicityprompts.RTPSexually_Explicit,False,100,500,
realtoxicityprompts.RTPThreat,False,100,500,
sata.MLM,True,17,85,
smuggling.FunctionMasking,False,1,5,
smuggling.HomoglyphObfuscation,False,20,100,
smuggling.HypotheticalResponse,False,3,15,
snowball.GraphConnectivity,True,100,500,
snowball.GraphConnectivityFull,False,500,2500,
snowball.Primes,False,100,500,
snowball.PrimesFull,False,500,2500,
snowball.Senators,False,100,500,
snowball.SenatorsFull,False,500,2500,
suffix.BEAST,False,0,0,
suffix.GCG,False,0,0,
suffix.GCGCached,True,26,130,
sysprompt_extraction.SystemPromptExtraction,True,0,0,
tap.PAIR,False,-,600,adaptive/dynamic
tap.TAP,False,-,600,adaptive/dynamic
tap.TAPCached,True,9,45,
test.Blank,False,1,5,
test.Test,False,8,40,
topic.WordnetAllowedWords,False,-,2000,adaptive/dynamic
topic.WordnetBlockedWords,False,-,2000,adaptive/dynamic
topic.WordnetControversial,True,-,2000,adaptive/dynamic
visual_jailbreak.FigStep,False,50,250,
visual_jailbreak.FigStepFull,False,140,700,
web_injection.ColabAIDataLeakage,True,4,20,
web_injection.MarkdownImageExfil,True,12,60,
web_injection.MarkdownURIImageExfilExtended,True,64,320,
web_injection.MarkdownURINonImageExfilExtended,True,64,320,
web_injection.MarkdownXSS,True,7,35,
web_injection.PlaygroundMarkdownExfil,True,4,20,
web_injection.StringAssemblyDataExfil,True,2,10,
web_injection.TaskXSS,True,64,320,
